"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I'm constantly impressed by how generous and selfless my wife is. She's invited her golf AND tennis coaches to live… https://t.co/ZW9h7XfnFJ",FALSE,13,NA,2019-04-14 23:59:48,TRUE,NA,"1117578229903167490",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nocusswords",1,FALSE,FALSE,NA,NA
"6","@baileywhite32 Go Flames <U+0001F64F><U+0001F499><U+0001F49B> <U+0001F525> so excited for you. CSM is my college alma mater and I played <U+0001F3BE> tennis for them. Con… https://t.co/dzzzlOCCnG",FALSE,2,"baileywhite32",2019-04-14 23:59:32,TRUE,"1117175628015521802","1117578165361233921","3420359234","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","downtownJenBro1",0,FALSE,FALSE,NA,NA
"9","your gucci tennis shoes runnin' from your issues",FALSE,0,NA,2019-04-14 23:59:25,FALSE,NA,"1117578135330017281",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kendalIol",0,FALSE,FALSE,NA,NA
"10","@ToddBrison I’m a phys. Ed. teacher and tennis coach. Love it!",FALSE,1,"ToddBrison",2019-04-14 23:59:24,FALSE,"1117569277547241472","1117578131349606401","117113519","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ConnorsShelly",0,FALSE,FALSE,NA,NA
"12","Follow the 2019 SWCL Individual Boys &amp; Girls Singles/Doubles Tennis <U+0001F3BE> Tournament beginning 4/26 &amp; 4/27 at… https://t.co/RBdsl7k2yg",FALSE,6,NA,2019-04-14 23:59:16,TRUE,NA,"1117578098361417729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","boagboystennis1",0,FALSE,FALSE,NA,NA
"13","@ethanrbarton Or on the tennis court!",FALSE,0,"ethanrbarton",2019-04-14 23:59:09,FALSE,"1117452097413316608","1117578067889856512","100789370","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tomfw3Ware",0,FALSE,FALSE,NA,NA
"17","It’s 39 degrees outside and yet there’s still a couple making out in the middle of the tennis courts lot",FALSE,13,NA,2019-04-14 23:58:44,FALSE,NA,"1117577962575015937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ConWaxx",0,FALSE,FALSE,NA,NA
"20","@everytimeseavey gucci TENNIS SHOES",FALSE,0,"everytimeseavey",2019-04-14 23:58:27,FALSE,"1117576006003458048","1117577889506050049","4334691376","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","misobuteras",0,FALSE,FALSE,NA,NA
"21","SFA Concludes 2019 Season Sunday at Southeastern Louisiana. #AxeEm

<U+0001F4F0> | https://t.co/eCcYLITY77 https://t.co/8yFbUN0lQW",FALSE,1,NA,2019-04-14 23:58:26,FALSE,NA,"1117577888176406530",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SFA_Tennis",0,FALSE,FALSE,NA,NA
"22","Monday's TENNIS Card goes out tonight <U+0001F3BE><U+0001F3BE><U+0001F3BE><U+0001F3BE><U+0001F3BE>",FALSE,10,NA,2019-04-14 23:58:25,FALSE,NA,"1117577881801109504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheRealMrACL",0,FALSE,FALSE,NA,NA
