"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"31","Mavericks  0  (Pitching: #12 Cameron Pina)
Tigers  7  (Batting: #11 Jarod Goines)
Bottom of 4th, 1 Out, Man on first
#iscore #sportsengine",FALSE,0,NA,2019-04-18 23:59:27,FALSE,NA,"1119027692790276098",NA,"<a href=""http://iscoresports.com"" rel=""nofollow"">iScore Sports</a>","baseball_katy",0,FALSE,FALSE,NA,NA
"32","RECAP: @Baseball Drops Two-Game Set at Elms | https://t.co/3kLT6I9jxR https://t.co/QPNltDDZkB",FALSE,1,NA,2019-04-18 23:59:27,FALSE,NA,"1119027692316311552",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ENCAthletics",0,FALSE,FALSE,NA,NA
"33","Baseball 5th inning Foothill 6-0 lead vs Livermore @DarrenSabedra @KasselMedia @HDSportsDoug @coachnatesmith… https://t.co/Z4kRYTIcIk",FALSE,1,NA,2019-04-18 23:59:26,TRUE,NA,"1119027688792936448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SamStringer26",1,FALSE,FALSE,NA,NA
"34","A big four-game series starts tonight at 6. Come on out to The Nett and soak up some sunshine!
Live audio and video… https://t.co/wPkGcBIv6k",FALSE,2,NA,2019-04-18 23:59:25,TRUE,NA,"1119027687480147968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChicoWildcats",3,FALSE,FALSE,NA,NA
"35","@Convokid22 Collectible cards, like baseball or Star Wars.",FALSE,1,"Convokid22",2019-04-18 23:59:25,FALSE,"1119020476326526977","1119027684372287488","3307463191","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dapple_TXUSA",0,FALSE,FALSE,NA,NA
"39","#VHSL Baseball - FINAL (5)
Union 13
Ridgeview 0
@tnsportslive @BHCSports @kevmays
Pack back in action Tuesday at home vs Battle",FALSE,0,NA,2019-04-18 23:59:20,FALSE,NA,"1119027666659815425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","davidmoore_7",2,FALSE,FALSE,NA,NA
"43","@chrislongview Tell me about it later. I’m watching baseball. I’m DONE today.",FALSE,5,"chrislongview",2019-04-18 23:59:16,FALSE,"1119019427197005824","1119027649693855750","800570658929262592","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","porterguy1969",0,FALSE,FALSE,NA,NA
"44","Your 2019 @SWMNSports amateur baseball schedule for the 12-team area we cover https://t.co/SeC6Xb7gU5",FALSE,10,NA,2019-04-18 23:59:14,FALSE,NA,"1119027639044296705",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","joshvanklomp",1,FALSE,FALSE,NA,NA
"48","Mid-Penn Conference Baseball: Cedar Cliff defeats Mechanicsburg 7-3 Thursday evening at Cedar Cliff High School.… https://t.co/p71MClpXvz",FALSE,4,NA,2019-04-18 23:59:09,TRUE,NA,"1119027620459446272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jmalmont",4,FALSE,FALSE,NA,NA
"52","Johnson Baseball &gt;&gt; @CTJbaseball &gt; jags will be wearing their Columbia Blue tops white pants Columbia striped stirr… https://t.co/Yh94Gy6f11",FALSE,12,NA,2019-04-18 23:59:07,TRUE,NA,"1119027611420831751",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jjnation",1,FALSE,FALSE,NA,NA
