"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2","@LifeGlutton @richarddeitsch @YoWes910TheFan I couldn’t disageee with you any more. About any of it. I’m in the mil… https://t.co/crPmKOCdrG",FALSE,2,"LifeGlutton",2019-04-14 23:59:58,TRUE,"1117491283851923457","1117578272047550464","174248500","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chfnocahoma",0,FALSE,FALSE,NA,NA
"3","I’ve started my strengthening routine for Baseball again and I broke another glove of my brother while throwing wit… https://t.co/KAiYTaRYw0",FALSE,1,NA,2019-04-14 23:59:57,TRUE,NA,"1117578270000713729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hamster52x",0,FALSE,FALSE,NA,NA
"6","@TheMikeSalk I have mentioned before you guys get so wrapped up on Seahawk players during the off-season. Go so ove… https://t.co/Oq4tTvvWiZ",FALSE,0,"TheMikeSalk",2019-04-14 23:59:55,TRUE,"1117555616753471489","1117578258806034433","25554667","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","loveableherb",0,FALSE,FALSE,NA,NA
"8","@csszrr @JeremyinAkron @Gause__ I think I would watch baseball if they would set pitch and bat clocks and speed the crap up. <U+0001F602>",FALSE,1,"csszrr",2019-04-14 23:59:53,FALSE,"1117577995168944130","1117578250258137095","33314464","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Skalded",0,FALSE,FALSE,NA,NA
"11","baseball is dumb",FALSE,9,NA,2019-04-14 23:59:50,FALSE,NA,"1117578241034936321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dwcase",2,FALSE,FALSE,NA,NA
"17","Football now baseball... I can expect this at Baylor @BaylorBaseball @espn https://t.co/pMgfhfWnil",FALSE,1,NA,2019-04-14 23:59:39,FALSE,NA,"1117578191168733184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dondon115",0,FALSE,FALSE,NA,NA
"19","Come on man... he served the longest suspension in baseball history not involving PED’s (75 games) and had his day… https://t.co/GF1bujTpRK",FALSE,0,NA,2019-04-14 23:59:35,TRUE,NA,"1117578176497094663",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JamalByke",0,FALSE,FALSE,NA,NA
"20","Happy Spring Break! <U+0001F3C4><U+0001F3FC><U+200D><U+2640><U+FE0F><U+0001F3C4><U+0001F3FC><U+200D><U+2642><U+FE0F> The training room will be open:

<U+0001F449><U+0001F3FB>Monday 2-5 and then on-site at softball &amp; basebal… https://t.co/keAh65OHin",FALSE,5,NA,2019-04-14 23:59:33,TRUE,NA,"1117578169375232000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SportsMedTHS",3,FALSE,FALSE,NA,NA
"21","New Article by Me!

https://t.co/zVFDqgYVls

#Mets #LGM #MLB #Fans #Baseball #MLBTwitter #MetsTwitter",FALSE,0,NA,2019-04-14 23:59:33,FALSE,NA,"1117578169178103808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Greg_RisortoTRR",0,FALSE,FALSE,NA,NA
"28","Nice job Bryant JHS baseball team , Tournament Champions! Still undefeated.",FALSE,1,NA,2019-04-14 23:59:27,FALSE,NA,"1117578143043162112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BVanworth",0,FALSE,FALSE,NA,NA
